player_name,mode,rank,k_d,bp_rating,slayer_rating,t.e.s,hp_k_d,hp_k_10m,hp_dmg_10m,hp_obj_10m,hp_eng_10m,hp_maps,snd_kd,snd_kpr,first_bloods,first_deaths,opd_wpct,plants,defuses,snd_maps,ctl_kd,ctl_k_10m,ctl_dmg_10m,ctl_eng_10m,zone_tier_captures,ctl_maps,game_time_(min),non-traded_kills,maps,role
Cobra,challengers,1st,1.25,1.09,90.22,0.72,1.24,26.09,3022,70.86,47.06,36,1.07,0.64,20,31,0.39,43,7,29,1.35,24.04,2899,41.84,113,25,579,1179,90,AR
Afro,challengers,2nd,1.22,1.15,96.73,0.71,1.23,27.52,3178,50.82,49.88,43,1.32,0.81,46,26,0.64,6,5,33,1.15,23.85,2789,44.54,68,27,642,1415,103,SMG
Capsidal,challengers,3rd,1.2,1.11,96.1,0.69,1.23,27.71,3255,66.57,50.23,20,1.04,0.78,22,21,0.51,4,4,14,1.2,23.6,2940,43.2,34,11,299,633,45,SMG
Vivid,challengers,4th,1.2,1.2,98.75,0.74,1.15,27.81,3704,45.67,51.95,15,1.25,0.82,9,2,0.82,3,3,10,1.27,25.18,3372,44.98,31,10,231,543,35,AR
Wrecks,challengers,5th,1.19,1.12,89.91,0.73,1.22,26.06,3391,52.21,47.34,33,1.06,0.69,17,18,0.49,4,6,23,1.17,22.69,2839,42.09,65,18,504,1067,74,AR
EriKBooM,challengers,7th,1.17,1.12,92.19,0.69,1.14,25.84,3086,98.54,48.45,43,1.26,0.75,34,34,0.5,63,13,33,1.18,23.97,2723,44.26,100,27,642,1364,103,SMG
Nero,challengers,8th,1.15,0.79,97.57,0.71,1.08,28.68,3255,67.83,55.34,4,0.93,0.58,4,2,0.67,0,0,3,1.5,27.37,3160,45.61,11,3,41,98,10,SMG
SupeR,challengers,9th,1.15,1.07,84.62,0.71,1.11,23.25,3137,60.02,44.26,8,1.26,0.86,4,7,0.36,4,3,6,1.18,19.21,2113,35.54,16,5,150,260,19,AR
Fire,challengers,10th,1.14,0.83,87.04,0.7,1.18,25.24,3226,61.26,46.59,44,1.07,0.68,34,23,0.6,7,9,34,1.08,21.58,2831,41.54,68,26,704,1372,104,AR
Gunless,challengers,11th,1.13,1.05,86.27,0.69,1.11,24.62,3105,56.33,46.7,12,1.09,0.73,6,8,0.43,0,2,9,1.15,20.94,2376,39.06,26,8,218,390,29,AR
Gio,challengers,13th,1.12,0.79,91.61,0.72,1.09,27.67,3525,40.83,52.98,4,1.09,0.5,0,4,,0,0,3,1.2,25.26,3101,46.32,0,3,41,91,10,AR
Mercules,challengers,14th,1.11,1.12,86.88,0.7,1.13,24.5,2999,72.88,46.1,26,1.08,0.72,26,13,0.67,7,8,19,1.09,22.11,2917,42.47,45,14,409,805,59,AR
Nium,challengers,15th,1.1,0.99,86.46,0.69,1.08,23.67,2987,52.92,45.65,41,1.11,0.72,34,30,0.53,22,11,34,1.16,23.18,2977,43.21,77,28,677,1341,103,AR
Mamba,challengers,16th,1.1,1.06,89.58,0.69,1.08,25.68,3261,56.02,49.54,42,1.17,0.74,28,25,0.53,4,6,30,1.12,21.93,2966,41.45,94,28,687,1357,100,AR
Diamondcon,challengers,18th,1.09,1.06,88.36,0.68,1.11,25.26,3166,53.94,48.09,51,1.07,0.7,35,30,0.54,16,13,38,1.06,22.51,2811,43.78,75,29,791,1583,118,AR
